image,label
Bishop_0.jpg,Bishop
Bishop_1.jpg,Bishop
Bishop_10.jpg,Bishop
Bishop_11.jpg,Bishop
Bishop_12.jpg,Bishop
Bishop_13.jpg,Bishop
Bishop_14.jpg,Bishop
Bishop_15.jpg,Bishop
Bishop_16.jpg,Bishop
Bishop_17.jpg,Bishop
Bishop_18.jpg,Bishop
Bishop_19.jpg,Bishop
Bishop_2.jpg,Bishop
Bishop_20.jpg,Bishop
Bishop_21.jpg,Bishop
Bishop_22.jpg,Bishop
Bishop_23.jpg,Bishop
Bishop_24.jpg,Bishop
Bishop_25.jpg,Bishop
Bishop_26.jpg,Bishop
Bishop_27.jpg,Bishop
Bishop_28.jpg,Bishop
Bishop_29.jpg,Bishop
Bishop_3.jpg,Bishop
Bishop_30.jpg,Bishop
Bishop_31.jpg,Bishop
Bishop_32.jpg,Bishop
Bishop_33.jpg,Bishop
Bishop_34.jpg,Bishop
Bishop_35.jpg,Bishop
Bishop_36.jpg,Bishop
Bishop_37.jpg,Bishop
Bishop_38.jpg,Bishop
Bishop_39.jpg,Bishop
Bishop_4.jpg,Bishop
Bishop_40.jpg,Bishop
Bishop_41.jpg,Bishop
Bishop_42.jpg,Bishop
Bishop_43.jpg,Bishop
Bishop_44.jpg,Bishop
Bishop_45.jpg,Bishop
Bishop_46.jpg,Bishop
Bishop_47.jpg,Bishop
Bishop_48.jpg,Bishop
Bishop_49.jpg,Bishop
Bishop_5.jpg,Bishop
Bishop_50.jpg,Bishop
Bishop_51.jpg,Bishop
Bishop_52.jpg,Bishop
Bishop_53.jpg,Bishop
Bishop_54.jpg,Bishop
Bishop_55.jpg,Bishop
Bishop_56.jpg,Bishop
Bishop_57.jpg,Bishop
Bishop_58.jpg,Bishop
Bishop_59.jpg,Bishop
Bishop_6.jpg,Bishop
Bishop_60.jpg,Bishop
Bishop_61.jpg,Bishop
Bishop_62.jpg,Bishop
Bishop_63.jpg,Bishop
Bishop_64.jpg,Bishop
Bishop_65.jpg,Bishop
Bishop_66.jpg,Bishop
Bishop_67.jpg,Bishop
Bishop_68.jpg,Bishop
Bishop_69.jpg,Bishop
Bishop_7.jpg,Bishop
Bishop_70.jpg,Bishop
Bishop_71.jpg,Bishop
Bishop_72.jpg,Bishop
Bishop_73.jpg,Bishop
Bishop_74.jpg,Bishop
Bishop_75.jpg,Bishop
Bishop_76.jpg,Bishop
Bishop_77.jpg,Bishop
Bishop_78.jpg,Bishop
Bishop_79.jpg,Bishop
Bishop_8.jpg,Bishop
Bishop_80.jpg,Bishop
Bishop_81.jpg,Bishop
Bishop_82.jpg,Bishop
Bishop_83.jpg,Bishop
Bishop_84.jpg,Bishop
Bishop_85.jpg,Bishop
Bishop_86.jpg,Bishop
Bishop_87.jpg,Bishop
